timestamp,direction,entry_price,sl,tp,lots,prob,label,profit,equity,rr
2026-01-02 19:55:00+00:00,bearish,4318.18,4322.444,4309.653,0.0586,0.5082,0,-25.0,4975.0,2.0
2026-01-02 20:00:00+00:00,bearish,4318.77,4322.959,4310.392,0.0594,0.5082,0,-24.88,4950.12,2.0
2026-01-02 20:05:00+00:00,bearish,4319.34,4323.3916,4311.2363,0.0611,0.5082,0,-24.75,4925.37,2.0
2026-01-07 12:15:00+00:00,bullish,4442.3150000000005,4438.12,4450.7046,0.0587,0.5082,1,49.25,4974.63,2.0
2026-01-07 12:20:00+00:00,bullish,4447.423500000001,4442.9165,4456.437,0.0552,0.5082,0,-24.87,4949.75,2.0
2026-01-07 13:10:00+00:00,bullish,4433.7015,4427.855,4445.395,0.0423,0.5082,1,49.5,4999.25,2.0
2026-01-07 13:15:00+00:00,bullish,4434.110000000001,4428.0312,4446.267,0.0411,0.5082,1,49.99,5049.25,2.0
2026-01-08 19:25:00+00:00,bullish,4447.87,4444.4194,4454.7715,0.0732,0.5082,1,50.49,5099.74,2.0
2026-01-20 14:30:00+00:00,bullish,4731.01,4723.6626,4745.704,0.0347,0.5082,1,51.0,5150.73,2.0
2026-01-22 13:50:00+00:00,bullish,4818.79,4813.015,4830.34,0.0446,0.5082,1,51.51,5202.24,2.0
2026-01-22 13:55:00+00:00,bullish,4822.37,4816.597,4833.916,0.0451,0.5082,1,52.02,5254.26,2.0
2026-01-22 14:00:00+00:00,bullish,4824.2,4818.5566,4835.4873,0.0466,0.5082,1,52.54,5306.81,2.0
2026-01-22 14:05:00+00:00,bullish,4821.245,4815.604,4832.5273,0.047,0.5082,1,53.07,5359.88,2.0
2026-01-22 14:10:00+00:00,bullish,4824.445,4818.949,4835.436,0.0488,0.5082,1,53.6,5413.47,2.0
2026-01-23 09:35:00+00:00,bullish,4912.37,4904.547,4928.0166,0.0346,0.5082,1,54.13,5467.61,2.0
2026-01-23 09:40:00+00:00,bullish,4917.12,4909.4316,4932.497,0.0356,0.5082,1,54.68,5522.28,2.0
2026-01-23 09:45:00+00:00,bullish,4919.4,4911.878,4934.444,0.0367,0.5082,1,55.22,5577.51,2.0
2026-01-27 12:00:00+00:00,bullish,5076.68,5071.302,5087.437,0.0519,0.5082,1,55.78,5633.28,2.0
2026-01-27 12:05:00+00:00,bullish,5080.1,5074.662,5090.976,0.0518,0.5082,0,-28.17,5605.12,2.0
2026-01-27 12:10:00+00:00,bullish,5081.15,5075.844,5091.761,0.0528,0.5082,0,-28.03,5577.09,2.0
2026-01-27 12:15:00+00:00,bullish,5077.215,5071.9663,5087.712,0.0531,0.5082,1,55.77,5632.86,2.0
2026-01-27 12:20:00+00:00,bullish,5076.425,5071.1875,5086.8994,0.0538,0.5082,1,56.33,5689.19,2.0
2026-01-29 20:00:00+00:00,bullish,5294.6085,5270.936,5341.953,0.012,0.5367,1,56.89,5746.08,2.0
2026-01-29 20:05:00+00:00,bullish,5298.085,5275.2095,5343.836,0.0126,0.5367,1,57.46,5803.54,2.0
2026-01-29 20:10:00+00:00,bullish,5296.0,5273.5376,5340.925,0.0129,0.5367,1,58.04,5861.58,2.0
2026-01-29 20:15:00+00:00,bullish,5310.46,5288.0034,5355.373,0.0131,0.5367,1,58.62,5920.19,2.0
2026-01-29 20:25:00+00:00,bullish,5318.4635,5296.8955,5361.599,0.0137,0.5082,1,59.2,5979.4,2.0
2026-02-03 14:05:00+00:00,bearish,4929.035,4941.963,4903.1797,0.0231,0.5082,1,59.79,6039.19,2.0
2026-02-03 14:10:00+00:00,bearish,4924.1085,4936.6924,4898.9404,0.024,0.5082,1,60.39,6099.58,2.0
2026-02-18 11:10:00+00:00,bearish,4915.84,4920.0483,4907.423,0.0725,0.5082,1,61.0,6160.58,2.0
2026-02-24 20:00:00+00:00,bullish,5153.255,5148.475,5162.8145,0.0644,0.5367,0,-30.8,6129.78,2.0
2026-02-24 20:05:00+00:00,bullish,5149.71,5144.899,5159.332,0.0637,0.5082,1,61.3,6191.07,2.0
2026-02-24 20:10:00+00:00,bullish,5149.25,5144.5273,5158.6953,0.0655,0.5367,1,61.91,6252.98,2.0
2026-02-24 20:15:00+00:00,bullish,5154.93,5150.018,5164.7544,0.0637,0.5,1,62.53,6315.51,2.0
2026-02-25 18:55:00+00:00,bullish,5202.165000000001,5198.9795,5208.536,0.0991,0.5082,0,-31.58,6283.94,2.0
2026-02-25 19:00:00+00:00,bullish,5201.165,5198.0713,5207.3525,0.1016,0.5367,0,-31.42,6252.52,2.0
2026-02-26 11:55:00+00:00,bullish,5164.75,5159.9756,5174.299,0.0655,0.5082,0,-31.26,6221.25,2.0
2026-02-26 15:10:00+00:00,bullish,5162.425,5153.469,5180.336,0.0347,0.5082,0,-31.11,6190.15,2.0
